,Ks,T1=0.0,T1=0.1,T1=0.2,T1=0.30000000000000004,T1=0.4,T1=0.5,T1=0.6000000000000001
39,9.559999999999999,0.2596545297579219,0.24314185209407935,0.22636444708238995,0.20518038184857262,0.1834600686993623,0.16135296429620144,0.14056927421945667
40,9.6,0.25882822704098796,0.24240680751383542,0.22572989601521817,0.20467015099779853,0.18315429475259895,0.1612464595891955,0.14064906158745571
41,9.64,0.2580111980382294,0.2416749600034846,0.22510046575473316,0.20415323664216634,0.18284425531163487,0.16112807797318224,0.1407024175484187
42,9.68,0.2572026885627035,0.24094864103369606,0.22447765497749242,0.20363349339200087,0.18253116387492999,0.16099760215823797,0.14073912345582493
43,9.719999999999999,0.25640299180736104,0.24022450664871936,0.22385401921923595,0.20311491679447488,0.1822122821971459,0.16085752046094876,0.14075777207461448
44,9.76,0.2556113728894951,0.23950466226255498,0.22323059947433138,0.20259153258521637,0.18188440135116135,0.16071093968828026,0.14075925645843462
45,9.8,0.25482427028406046,0.2387845552847552,0.2226134599707311,0.20207377555647651,0.18154829411586534,0.16055406230840866,0.14074403283115472
46,9.84,0.25404224318352675,0.2380693246703823,0.22200243629035393,0.2015564558533081,0.18120421280351223,0.16038717725131044,0.14071256131264112
47,9.879999999999999,0.25326547786558695,0.23735621313436392,0.2213864517079895,0.20103982866525844,0.18085698436564432,0.1602100196681949,0.14066318287429824
48,9.92,0.2524960971319118,0.2366464080275817,0.22077076112648897,0.20052536756331174,0.18050634482188047,0.16002176937418364,0.14060624808915495
49,9.96,0.2517373967563699,0.23594527228507978,0.22015235625485138,0.20001470033651295,0.18014720441057433,0.15981875224447625,0.14053484126416227
50,10.0,0.25098745432149216,0.23524656545919265,0.2195340464496358,0.1995102211719541,0.1797872107184721,0.15961415326887957,0.1404498520622363
51,10.04,0.2502414073873869,0.23454862976729673,0.21891624142384344,0.1990119348142714,0.17942593613705535,0.15940640017092697,0.1403576905097966
52,10.08,0.24950124646020566,0.23385346385337472,0.21830340847141985,0.1985135510755853,0.17905842789278353,0.15918765857033246,0.1402548793526441
53,10.120000000000001,0.2487677898769769,0.23316592082844628,0.21769950443864755,0.19801447930908495,0.17869198599598435,0.15895978303589325,0.14014182753694518
54,10.16,0.24803372787641811,0.23248128772179186,0.21709682605390718,0.19751849561114307,0.1783260806195433,0.15873065831143596,0.14002626834402684
55,10.2,0.2473005019929458,0.23179590691509305,0.21649640163029812,0.1970222432734683,0.17795591647561626,0.15849889251523086,0.13989650709867044
56,10.24,0.24656769498379047,0.23111674082046765,0.21590165599671535,0.1965280099737243,0.1775808682886191,0.15826606098228516,0.13975757940551187
57,10.280000000000001,0.24584211537208195,0.2304424128653543,0.21531296253566481,0.19603704878377903,0.17720554678117123,0.1580310793033712,0.13960882550270157
58,10.32,0.24511675246563042,0.2297737393557829,0.21472341144209187,0.19554679213055523,0.17683165699122158,0.15779159667562936,0.13945258963023238
59,10.36,0.24439489192078176,0.22910780593696206,0.21413707889430508,0.19504968330818348,0.17645621253830965,0.15754842229428492,0.13929814057277545
60,10.4,0.24367856717782135,0.22844710879682142,0.21355005705965688,0.19454827337714847,0.17608139937573475,0.15730437330362781,0.1391347786507862
61,10.440000000000001,0.2429676699907861,0.22779386046716701,0.212969409767739,0.19405536879363178,0.17570935037232505,0.15704956334800566,0.13896378484041863
62,10.48,0.24225881492204296,0.22714199032073865,0.21239375565987678,0.19356806803928622,0.17533861068893442,0.15678959971080805,0.13878814526200386
63,10.52,0.24155287131343497,0.2264973977299665,0.2118245442898449,0.19308236998771733,0.17497335772439884,0.15652398641988163,0.13860930099092514
64,10.56,0.24084764008913492,0.225857098966085,0.21126264613967893,0.19260057459624616,0.17460839292246774,0.15625917160556757,0.1384262681593725
65,10.600000000000001,0.2401486990221686,0.22521188054449165,0.21070029004384072,0.19212613968567893,0.1742433692133558,0.1559932735228097,0.13823504812691617
66,10.64,0.23945318809088142,0.2245639328078172,0.2101372264308445,0.19165655211974236,0.173876234254308,0.15572400953119173,0.1380378045826607
67,10.68,0.23876222233482228,0.22392636258825338,0.2095780201326052,0.19119506331616748,0.1735110610982611,0.15545607908648545,0.13783704223663312
68,10.72,0.23807366111582412,0.22329164272132493,0.20902406260099968,0.1907462676464931,0.17314919338058932,0.15518649379823277,0.1376380544709071
69,10.760000000000002,0.23738867148952633,0.2226587939014093,0.20847782974612192,0.1902958428517552,0.17278877821742,0.1549151233889941,0.13743027265470337
70,10.8,0.23670316601983024,0.22203421165399156,0.207936951893861,0.1898493360407074,0.172436520053747,0.15463938668732602,0.13721649485342247
71,10.84,0.23602605412756505,0.22141509084044111,0.2074035875614534,0.18940330346174764,0.1720837039540023,0.15435909345377233,0.13700255645982226
72,10.88,0.23534972052149855,0.22080049035833227,0.2068765828650852,0.1889593118147852,0.17173529027647264,0.15408310493420455,0.1367728912552086
73,10.920000000000002,0.2346755040172077,0.22018988201628367,0.20635559531124456,0.18851894904746097,0.17139306480747862,0.15380715264357864,0.13654201243443498
74,10.96,0.2340077886128368,0.21958112953478423,0.20583651527693786,0.18808017029072116,0.1710574552931755,0.1535326443559543,0.13630745431218655
75,11.0,0.2333473877515208,0.21897111980797584,0.20531404762389613,0.1876431492350557,0.1707220350531025,0.1532544432256881,0.13606590217402742
76,11.040000000000001,0.23269324413476922,0.2183628651711213,0.2047928854068708,0.18720687979964934,0.1703780279184205,0.15297549458658413,0.13582177971991596
77,11.080000000000002,0.2320443379390896,0.21775979894646819,0.2042762343641811,0.18676822308153504,0.1700343638718768,0.15269890255841925,0.13557090641285507
78,11.120000000000001,0.23139807862471415,0.2171610944797232,0.20375836294611052,0.18633223728752968,0.16968417680810183,0.15242015117561286,0.13532047024755042
