Ks,T1=0.0,T1=0.1,T1=0.2,T1=0.30000000000000004,T1=0.4,T1=0.5,T1=0.6000000000000001
10.604,0.2586865585270671,0.2418257438491493,0.2228122239740868,0.20069735816894457,0.18200984056440614,0.16153680971114995,0.1378512348609069
10.648,0.25784548141263325,0.24108594215609264,0.2221956377104924,0.20026508723855277,0.18171368458808923,0.1614385007099336,0.13800259831987904
10.692,0.25701105800020424,0.24034838724096866,0.22158000767855257,0.19982786690823617,0.18141596108356672,0.16133451941252583,0.13812739906212615
10.736,0.2561792861993478,0.23961318107601454,0.22096754398029056,0.19938199574790313,0.18112179596195507,0.16122721518018873,0.13822848247260305
10.78,0.25535349925987555,0.23887977525136514,0.22036089075920323,0.19893172686230887,0.1808243215270004,0.16111351538917862,0.13831085537235174
10.824,0.2545363311092449,0.2381526717522842,0.21976509240483505,0.1984816361079713,0.1805157691771293,0.16098412198313297,0.13837886505763491
10.868,0.2537245781177801,0.23743283851835073,0.2191705568021588,0.19803026748680203,0.18020629274146116,0.16084488803892832,0.13843389393207803
10.911999999999999,0.2529158247606893,0.23671830610400227,0.21857995061621263,0.19757449062130764,0.1798933097710718,0.16069644654810547,0.1384678448384403
10.956,0.2521136789915105,0.2360071319327678,0.21799202134822354,0.19711804247790868,0.1795750757156755,0.16053591769556158,0.13848806104516698
11.0,0.2513158878648102,0.23529564428689786,0.2174087885487454,0.19666025290280792,0.17925125420613247,0.1603741664721616,0.138494517145505
11.044,0.25052336155552624,0.23458579916036654,0.21682755304695503,0.19620875061624857,0.17892585989981882,0.16020608185788277,0.13848585637299968
11.088000000000001,0.24973417109992838,0.23387801517335055,0.2162489655508399,0.1957608699328554,0.17860314739897445,0.1600232416256086,0.13846642573539042
11.132,0.24894919705433785,0.23317458313604048,0.21567065473284192,0.19531180941509196,0.17828261416151034,0.1598263546739045,0.13843336668077785
11.176,0.24817196586417475,0.23247901054825362,0.21509825118044576,0.19486524169637257,0.17795953860055957,0.15961771989569515,0.13838626458220385
11.22,0.24740188459365062,0.23179310819170557,0.2145298240344738,0.19442205790631992,0.1776366498303724,0.15940428878760865,0.13832588069908583
11.264,0.24663045090852043,0.23111590487582348,0.21396426565759152,0.19398095700802967,0.17731390888380685,0.1591812922612454,0.13825597009851784
11.308,0.2458628310280116,0.23044770015012173,0.21340190592042244,0.19353695799235582,0.1769892286295234,0.158958353528876,0.13817623894193384
11.352,0.2450971139172317,0.22978267889116336,0.21284395029342834,0.19310300316986326,0.17665960844982487,0.1587379166992895,0.13808735865324223
11.396,0.24434107761945956,0.22912085411462066,0.21228917420627036,0.19266826257562494,0.17633117811567614,0.15851446233302355,0.13799308238810867
11.440000000000001,0.24358919563487608,0.22846756056822554,0.2117384521290161,0.19223074985367025,0.1760051881335166,0.15828461528694934,0.13788754847783735
11.484,0.24284284224070418,0.22782128951267538,0.2111899915250987,0.19179257680767642,0.17567898797987194,0.15805085142105388,0.13777699995910858
11.528,0.24210005874662163,0.22717969044935468,0.21064031088080262,0.19135437131212407,0.17534633611716116,0.15781652310768957,0.13765773780981688
11.572000000000001,0.24136200412919423,0.22654424560860542,0.21009780098649797,0.19092000830916211,0.17501829889137174,0.15757631973737957,0.13753261963910812
11.616,0.24062787005672456,0.22591564914886053,0.20955458195173382,0.19048223694594257,0.17469313394190294,0.15733360844584313,0.13740340144078816
11.66,0.23989737635920969,0.2252883734866953,0.20901412304444975,0.19005028666281207,0.17436317681725075,0.15708525533215742,0.13727282152759546
11.704,0.23917120947589093,0.22465989408443302,0.20847795622423076,0.18962253183058536,0.17402550514380175,0.15682985839713023,0.1371386078513877
11.748000000000001,0.2384453533833705,0.22403165762467117,0.20794794032108257,0.1891930684884651,0.17369193399510988,0.1565653263861056,0.13699635155443246
11.792000000000002,0.23772011749528413,0.22340845539540305,0.20741736237278574,0.18876665994559316,0.17335844016635807,0.1562955198573076,0.13684892972613352
11.836,0.23699904535830588,0.22278773026761028,0.20689491277893773,0.1883384097084149,0.17302351403157298,0.15602767674227047,0.13670590166330304
11.88,0.23628042025135793,0.2221738694735868,0.2063744441545897,0.1879127348597987,0.17268658787114938,0.15576468977857158,0.13655388784677294
11.924000000000001,0.23556919426458245,0.22156459144633894,0.20585650578863898,0.18748971411299883,0.17234644556706202,0.15549256910486997,0.1363994024719068
11.968,0.23485771689727356,0.22096164004627242,0.20534083333113298,0.18706783200048765,0.1720159100507124,0.1552140983933788,0.13624035192414888
12.012,0.23415555184033698,0.22035766226014247,0.204824868277773,0.18665390557104983,0.17168221412102683,0.15493104141412628,0.13608350089352292
12.056000000000001,0.23346337509207551,0.21975585345026022,0.20431136189919757,0.18624342143070532,0.1713478376222508,0.15464871565887736,0.13592450158164623
12.100000000000001,0.23278065665685935,0.21915650377271276,0.20380009096262336,0.1858358897280015,0.17101479670175654,0.15436789562251263,0.13576339920474104
12.144000000000002,0.23210635842617133,0.21856320254797512,0.20328952180848991,0.18542983564408885,0.1706830895969491,0.1540864407029475,0.13559224066253794
12.188,0.23144413335913666,0.21797486506467223,0.20277258377160243,0.18502129011485233,0.17035002700230442,0.15380796943553982,0.13541475185401586
12.232000000000001,0.23078529825390087,0.21739096398153634,0.20226701503483885,0.18461376458321455,0.17001343470986724,0.1535266102872067,0.13522840061971297
12.276000000000002,0.23013671617639384,0.21680432822952095,0.2017692002420333,0.1842040927433261,0.16967977649346302,0.1532458516511275,0.13504198865808364
